Year,Hospitalizations,Malaria cases,Of which soldiers,Percent
1855,6008,1465,,24.3841544607
1856,6237,1522,,24.4027577361
1857,5851,1186,,20.2700393095
1858,5873,958,,16.3119359782
1859,6119,1085,,17.7316554993
1860,4950,602,,12.1616161616
1861,4946,644,,13.0206227254
1862,4985,798,,16.0080240722
1863,5688,916,,16.1040787623
1864,5378,1102,,20.4908888062
1865,5423,1079,,19.8967361239
1866,5745,850,,14.7954743255
1867,6057,1615,,26.663364702
1868,7194,2200,,30.5810397554
1869,6040,1263,,20.9105960265
1870,6206,806,,12.9874315179
1871,5917,827,,13.9766773703
1872,6765,1273,,18.8174427199
1873,7377,1332,,18.0561203741
1874,7096,1061,,14.9520856821
1875,6836,817,,11.9514335869
1876,6594,942,,14.2857142857
1877,7092,998,,14.0721940214
1878,7782,936,,12.0277563608
1879,7513,1265,,16.8374816984
1880,6883,1078,,15.6617753886
1881,6421,1026,,15.9788194985
1882,5837,712,,12.1980469419
1883,5450,614,,11.2660550459
1884,5333,530,,9.9381211326
1885,4945,725,,14.6612740142
1886,4731,730,,15.4301416191
1887,4458,443,,9.9371915657
1888,4343,400,,9.2102233479
1889,4327,432,,9.9838225098
1890,4383,380,,8.6698608259
1891,3609,282,,7.8137988362
1892,4142,438,,10.5746016417
1893,3808,335,,8.7972689076
1894,3517,240,,6.8239977253
1895,3514,162,,4.610130905
1896,3631,220,,6.058936932
1897,3794,170,,4.4807590933
1898,4213,332,,7.8803702825
1899,4823,370,,7.6715737093
1900,5048,358,,7.0919175911
1901,4594,333,,7.248585111
1902,4549,172,,3.7810507804
1903,4471,171,,3.8246477298
1904,4687,122,,2.6029443141
1905,4314,66,,1.5299026426
1906,4358,42,,0.9637448371
1907,4081,45,,1.102670914
1908,3533,15,,0.4245683555
1909,4037,16,,0.3963339113
1910,3616,11,,0.3042035398
1911,3886,7,,0.1801338137
1912,3683,7,,0.1900624491
1913,4019,5,,0.124409057
1914,4008,2,,0.0499001996
1915,4451,15,14,0.3370029207
1916,4590,33,32,0.7189542484
1917,4826,32,26,0.6630750104
1918,5352,20,17,0.3736920777
1919,4445,22,,0.4949381327
1920,3642,18,,0.4942339374
1921,3577,12,,0.3354766564
1922,2927,6,,0.2049880424
1923,2371,1,,0.0421762969
1924,2637,2,,0.0758437619
1925,3050,1,,0.0327868852
1926,3228,4,,0.1239157373
1927,3211,4,,0.1245717845
1928,3373,2,,0.0592943967
1929,3667,2,,0.0545404963

