Battute,Stambecchi,,,,Camosci,
,M,F,1917,1918,,
Ouillé,63,41,10,21,15,
Aroletta,45,50,2,7,75,
Bioulla,98,40,2,12,99,?55 (trascritto male) ?47 (sulla base delle somme)
Fenille,95,110,6,20,100,
Seiva,21,10,4,5,20,
Moncorvé,18,12,2,6,39,
Montandayné e Baietta,39,30,1,6,55,
Livionaz,73,70,6,29,49,
Boconere,38,42,2,18,30,
Gran Punta e Favret,98,98,5,25,85,
Gran Valle e Herbetet,34,52,4,9,51,
Grand St. Pierre,51,55,3,21,130,
Bardoney e Cesera,46,51,6,19,100,
Pousset,18,32,1,6,56,
Lanzon,34,54,7,23,95,
Trasso,32,36,2,11,115,
,,,,,,
TOT Cogne,215,280,23,89,547,
TOT Valsavaranche,544,503,40,145,515,
TOTALE,759,783,63,234,1062,
,,,,,,
SUM Formula,803,783,63,238,1114,
