Stambecchi,Stambecchi piccoli,,,Camosci,Nome delle montagne
M,,F,Tot,,
25,12,36,73,90,Le rosse Maresperci Rosset Bozon (Ceresole)
12,6,14,32,80,Boeretto Cuccagna Maon (Ceresole)
37,18,50,105,170,TOT Ceresole
56,23,48,127,80,"Gioir, Tresen Ros, Geslalosa, Goi, Motta, Carro (Noasca)"
33,23,68,124,100,"Montechiaro, Torre, Tresenta, Porassier, Alpet (Noasca)"
89,46,116,251,180,Tot Noasca
50,18,60,128,80,"Gran Carro, Bec, Scattiglioni (Locana)"
24,16,30,70,90,"Val Soera, Moncimour (Locana)"
74,34,90,198,170,Tot Locana
,,,0,,
,,,0,,
,,,0,,
